rh.aparc.thicknessstd	rh_bankssts_thicknessstd	rh_caudalanteriorcingulate_thicknessstd	rh_caudalmiddlefrontal_thicknessstd	rh_cuneus_thicknessstd	rh_entorhinal_thicknessstd	rh_fusiform_thicknessstd	rh_inferiorparietal_thicknessstd	rh_inferiortemporal_thicknessstd	rh_isthmuscingulate_thicknessstd	rh_lateraloccipital_thicknessstd	rh_lateralorbitofrontal_thicknessstd	rh_lingual_thicknessstd	rh_medialorbitofrontal_thicknessstd	rh_middletemporal_thicknessstd	rh_parahippocampal_thicknessstd	rh_paracentral_thicknessstd	rh_parsopercularis_thicknessstd	rh_parsorbitalis_thicknessstd	rh_parstriangularis_thicknessstd	rh_pericalcarine_thicknessstd	rh_postcentral_thicknessstd	rh_posteriorcingulate_thicknessstd	rh_precentral_thicknessstd	rh_precuneus_thicknessstd	rh_rostralanteriorcingulate_thicknessstd	rh_rostralmiddlefrontal_thicknessstd	rh_superiorfrontal_thicknessstd	rh_superiorparietal_thicknessstd	rh_superiortemporal_thicknessstd	rh_supramarginal_thicknessstd	rh_frontalpole_thicknessstd	rh_temporalpole_thicknessstd	rh_transversetemporal_thicknessstd	rh_insula_thicknessstd	BrainSegVolNotVent	eTIV
F_HCC_05	0.351	0.538	0.504	0.426	0.887	0.545	0.45	0.702	0.641	0.548	0.65	0.52	0.626	0.539	0.618	0.495	0.396	0.604	0.422	0.343	0.509	0.617	0.558	0.521	0.606	0.496	0.492	0.485	0.564	0.449	0.768	0.614	0.225	0.894	874133.0	1261379.955885
F_HCC_06	0.3	0.601	0.426	0.403	0.778	0.601	0.421	0.578	0.76	0.476	0.582	0.541	0.588	0.548	0.441	0.521	0.382	0.451	0.429	0.451	0.463	0.703	0.523	0.433	0.428	0.469	0.51	0.352	0.473	0.422	0.525	0.627	0.401	0.687	1249429.0	1716335.641027
F_HCC_07	0.356	0.562	0.424	0.412	0.476	0.753	0.452	0.661	0.744	0.539	0.652	0.551	0.571	0.551	0.705	0.545	0.39	0.538	0.48	0.404	0.527	0.546	0.53	0.458	0.487	0.484	0.51	0.416	0.504	0.469	0.435	0.531	0.312	0.678	1045071.0	1518447.607231
F_HCC_08	0.478	0.582	0.424	0.411	0.6	0.542	0.428	0.627	0.714	0.508	0.568	0.536	0.528	0.604	0.579	0.465	0.396	0.519	0.441	0.404	0.51	0.458	0.506	0.457	0.505	0.474	0.499	0.391	0.536	0.479	0.532	0.563	0.395	0.664	1014739.0	1374898.594195
F_HCC_09	0.393	0.663	0.436	0.471	0.7	0.514	0.473	0.603	0.665	0.496	0.577	0.57	0.492	0.525	0.537	0.461	0.335	0.423	0.398	0.401	0.491	0.705	0.551	0.522	0.611	0.439	0.493	0.45	0.518	0.435	0.462	0.686	0.285	0.742	924944.0	1281363.398682
F_HCC_10	0.295	0.537	0.328	0.405	0.992	0.539	0.375	0.61	0.616	0.471	0.613	0.513	0.527	0.521	0.561	0.494	0.357	0.464	0.403	0.415	0.449	0.564	0.464	0.385	0.553	0.432	0.443	0.362	0.518	0.409	0.375	0.609	0.418	0.756	987641.0	1418696.806258
F_HCC_11	0.3	0.548	0.368	0.392	0.766	0.582	0.395	0.587	0.716	0.451	0.51	0.502	0.568	0.55	0.682	0.399	0.3	0.456	0.378	0.388	0.438	0.661	0.423	0.394	0.62	0.42	0.464	0.354	0.461	0.357	0.464	0.525	0.408	0.456	1072682.0	1466323.700698
F_HCC_12	0.331	0.709	0.502	0.494	0.626	0.662	0.5	0.662	0.716	0.464	0.592	0.526	0.506	0.627	0.652	0.517	0.456	0.548	0.428	0.477	0.646	0.762	0.512	0.508	0.459	0.527	0.538	0.469	0.606	0.514	0.44	0.811	0.369	0.788	1113734.0	1402512.263172
F_HCC_13	0.421	0.645	0.579	0.418	0.694	0.561	0.486	0.601	0.666	0.532	0.586	0.571	0.525	0.553	0.47	0.451	0.507	0.566	0.442	0.384	0.432	0.788	0.543	0.491	0.407	0.52	0.53	0.445	0.527	0.5	0.591	0.687	0.454	0.768	1016467.0	1528130.473391
F_HCC_14	0.412	0.591	0.434	0.432	0.769	0.59	0.464	0.598	0.781	0.502	0.724	0.605	0.57	0.543	0.679	0.518	0.4	0.476	0.398	0.374	0.538	0.65	0.515	0.441	0.579	0.47	0.54	0.423	0.594	0.476	0.608	0.584	0.342	0.656	1178111.0	1229524.295291
F_HCC_15	0.412	0.585	0.401	0.35	0.941	0.658	0.417	0.686	0.82	0.601	0.593	0.483	0.586	0.581	0.596	0.442	0.353	0.489	0.503	0.386	0.451	0.687	0.518	0.502	0.584	0.483	0.487	0.464	0.559	0.456	0.616	0.682	0.335	0.626	1192845.0	1693316.474299
F_HCC_16	0.293	0.637	0.351	0.434	0.697	0.612	0.429	0.56	0.613	0.477	0.632	0.536	0.572	0.557	0.695	0.514	0.342	0.567	0.416	0.421	0.503	0.554	0.438	0.465	0.641	0.502	0.526	0.4	0.518	0.411	0.5	0.582	0.379	0.754	834188.0	1162230.168564
F_HCC_18	0.319	0.687	0.393	0.413	0.683	0.459	0.397	0.564	0.758	0.494	0.589	0.548	0.583	0.495	0.686	0.489	0.379	0.492	0.391	0.408	0.464	0.68	0.457	0.446	0.529	0.506	0.489	0.417	0.482	0.47	0.628	0.576	0.341	0.589	977283.0	1428842.637768
F_HCC_19	0.427	0.62	0.412	0.439	0.622	0.651	0.421	0.573	0.705	0.53	0.62	0.532	0.523	0.489	0.63	0.454	0.367	0.536	0.467	0.467	0.528	0.473	0.515	0.475	0.709	0.458	0.441	0.405	0.464	0.43	0.418	0.821	0.356	0.734	953991.0	1292853.641947
F_HCC_20	0.337	0.384	0.472	0.364	0.658	0.648	0.464	0.604	0.718	0.545	0.539	0.487	0.567	0.516	0.822	0.58	0.405	0.489	0.439	0.465	0.514	0.452	0.537	0.453	0.428	0.517	0.488	0.47	0.526	0.453	0.593	0.542	0.302	0.667	1010143.0	1249802.500328
F_HCC_21	0.31	0.49	0.439	0.489	0.692	0.684	0.449	0.576	0.792	0.475	0.572	0.51	0.62	0.57	0.72	0.544	0.393	0.562	0.42	0.433	0.538	0.61	0.528	0.525	0.524	0.513	0.534	0.478	0.581	0.438	0.653	0.655	0.39	0.746	1093151.0	1265215.180947
F_HCC_22	0.335	0.619	0.481	0.487	0.744	0.577	0.432	0.693	0.751	0.468	0.695	0.522	0.675	0.601	0.749	0.535	0.423	0.598	0.54	0.437	0.538	0.68	0.484	0.494	0.815	0.613	0.547	0.438	0.554	0.475	0.56	0.833	0.361	0.764	984242.0	1018384.160098
F_HCC_23	0.328	0.642	0.404	0.378	0.769	0.564	0.443	0.598	0.816	0.524	0.561	0.551	0.514	0.501	0.509	0.504	0.426	0.585	0.363	0.378	0.529	0.714	0.452	0.419	0.607	0.411	0.466	0.412	0.468	0.428	0.591	0.731	0.303	0.693	1065579.0	1496461.159112
F_HCC_25	0.458	0.666	0.383	0.433	0.858	0.637	0.5	0.692	0.753	0.596	0.793	0.562	0.696	0.61	0.504	0.447	0.356	0.75	0.533	0.502	0.574	0.662	0.5	0.495	0.674	0.606	0.527	0.418	0.675	0.516	0.661	0.859	0.364	0.807	1071199.0	1538885.646242
F_HCC_26	0.413	0.457	0.396	0.403	0.662	0.626	0.438	0.675	0.764	0.55	0.529	0.469	0.592	0.503	0.659	0.471	0.352	0.592	0.341	0.396	0.556	0.621	0.446	0.449	0.424	0.547	0.539	0.418	0.552	0.473	0.484	0.623	0.345	0.738	957530.0	1220364.789682
F_HCC_27	0.326	0.673	0.44	0.481	0.715	0.6	0.466	0.632	0.83	0.575	0.626	0.56	0.547	0.517	0.746	0.469	0.397	0.582	0.405	0.418	0.573	0.702	0.524	0.466	0.441	0.473	0.472	0.397	0.524	0.486	0.522	0.582	0.285	0.63	1232872.0	1635763.853201
F_HCC_28	0.396	0.78	0.469	0.349	0.742	0.561	0.389	0.583	0.735	0.464	0.562	0.536	0.575	0.565	0.614	0.47	0.395	0.486	0.418	0.37	0.499	0.66	0.502	0.457	0.584	0.496	0.5	0.387	0.55	0.466	0.485	0.818	0.347	0.778	1149257.0	1638424.100891
F_HCC_29	0.378	0.574	0.453	0.471	0.795	0.479	0.441	0.621	0.728	0.458	0.586	0.555	0.559	0.51	0.622	0.417	0.396	0.509	0.423	0.438	0.504	0.675	0.459	0.445	0.527	0.458	0.458	0.452	0.514	0.458	0.611	0.442	0.475	0.708	1151120.0	1568761.123706
F_HCC_30	0.322	0.527	0.329	0.451	0.708	0.547	0.435	0.602	0.754	0.513	0.606	0.536	0.523	0.485	0.633	0.429	0.361	0.461	0.429	0.406	0.51	0.637	0.438	0.493	0.427	0.458	0.453	0.429	0.488	0.402	0.491	0.631	0.341	0.62	1016118.0	1345090.637507
F_HCC_31	0.39	0.645	0.45	0.437	0.775	0.527	0.418	0.606	0.661	0.463	0.574	0.549	0.573	0.543	0.629	0.549	0.358	0.414	0.404	0.411	0.491	0.655	0.506	0.474	0.544	0.442	0.444	0.375	0.466	0.43	0.471	0.625	0.275	0.712	957072.0	1315051.908459
F_HCC_32	0.318	0.47	0.375	0.383	0.733	0.555	0.418	0.649	0.634	0.436	0.661	0.553	0.597	0.561	0.677	0.523	0.353	0.517	0.431	0.478	0.509	0.53	0.493	0.486	0.441	0.448	0.481	0.427	0.463	0.412	0.487	0.627	0.322	0.64	1055110.0	1416861.974952
F_HCC_34	0.443	0.683	0.399	0.397	0.638	0.565	0.471	0.585	0.741	0.543	0.581	0.539	0.497	0.533	0.469	0.436	0.37	0.54	0.486	0.298	0.537	0.628	0.548	0.472	0.457	0.444	0.467	0.413	0.57	0.469	0.517	0.41	0.266	0.571	994141.0	1443640.475301
F_HCC_35	0.351	0.544	0.463	0.436	0.737	0.506	0.432	0.576	0.695	0.472	0.62	0.505	0.509	0.54	0.58	0.493	0.392	0.49	0.394	0.475	0.515	0.627	0.501	0.477	0.53	0.462	0.474	0.435	0.474	0.454	0.529	0.633	0.38	0.689	1117435.0	1405505.810365
F_HCC_36	0.457	0.556	0.447	0.503	0.856	0.507	0.428	0.676	0.667	0.566	0.525	0.526	0.465	0.536	0.516	0.533	0.389	0.468	0.408	0.41	0.528	0.748	0.494	0.472	0.658	0.424	0.498	0.431	0.555	0.459	0.353	0.687	0.372	0.705	1034002.0	1562916.991817
F_HCC_37	0.355	0.431	0.385	0.541	0.727	0.59	0.443	0.635	0.7	0.54	0.678	0.522	0.572	0.517	0.684	0.545	0.38	0.537	0.425	0.521	0.559	0.688	0.492	0.469	0.566	0.486	0.515	0.368	0.55	0.391	0.551	0.919	0.427	0.695	1185837.0	1627497.001725
F_HCC_38	0.363	0.75	0.497	0.446	0.727	0.539	0.504	0.629	0.726	0.507	0.627	0.607	0.619	0.535	0.68	0.556	0.365	0.505	0.485	0.42	0.605	0.732	0.547	0.56	0.676	0.521	0.531	0.45	0.597	0.495	0.666	0.728	0.419	0.837	1112859.0	1304808.160895
F_HCC_39	0.315	0.528	0.371	0.371	0.606	0.578	0.354	0.565	0.733	0.457	0.559	0.514	0.544	0.498	0.715	0.499	0.361	0.503	0.375	0.389	0.521	0.769	0.48	0.45	0.474	0.507	0.472	0.352	0.455	0.361	0.562	0.614	0.259	0.718	1034088.0	1415676.05335
F_HCC_40	0.391	0.584	0.442	0.475	0.512	0.59	0.476	0.6	0.848	0.499	0.598	0.557	0.589	0.608	0.701	0.534	0.421	0.658	0.375	0.415	0.553	0.565	0.518	0.497	0.505	0.571	0.49	0.416	0.578	0.467	0.51	0.596	0.302	0.694	1050174.0	1380925.879885
F_HCC_41	0.383	0.603	0.468	0.394	0.778	0.588	0.421	0.576	0.751	0.459	0.519	0.528	0.536	0.551	0.486	0.585	0.364	0.477	0.46	0.367	0.524	0.69	0.496	0.471	0.473	0.423	0.509	0.439	0.541	0.451	0.425	0.854	0.328	0.64	973588.0	1461607.917994
F_HCC_42	0.3	0.67	0.477	0.368	0.815	0.631	0.362	0.615	0.651	0.436	0.565	0.51	0.64	0.542	0.494	0.489	0.373	0.52	0.401	0.344	0.515	0.537	0.442	0.439	0.704	0.625	0.599	0.379	0.533	0.414	0.635	0.626	0.294	0.766	921101.0	1279381.557112
F_HCC_46	0.297	0.687	0.389	0.416	0.67	0.524	0.495	0.604	0.655	0.512	0.639	0.516	0.582	0.545	0.748	0.5	0.392	0.455	0.432	0.43	0.551	0.559	0.497	0.514	0.585	0.474	0.503	0.475	0.574	0.463	0.54	0.514	0.291	0.641	1060799.0	1547708.159287
F_HCC_47	0.373	0.672	0.515	0.536	0.957	0.538	0.534	0.675	0.755	0.579	0.673	0.622	0.764	0.618	0.687	0.464	0.461	0.652	0.511	0.441	0.61	0.746	0.583	0.465	0.75	0.578	0.606	0.443	0.585	0.451	0.865	0.899	0.42	0.821	1146715.0	1560830.41593
F_HCC_48	0.319	0.545	0.394	0.412	0.731	0.628	0.415	0.589	0.761	0.497	0.598	0.552	0.536	0.546	0.514	0.534	0.396	0.473	0.371	0.318	0.478	0.624	0.567	0.433	0.585	0.433	0.51	0.368	0.516	0.378	0.479	0.643	0.272	0.591	1153299.0	1595830.617509
F_HCC_49	0.334	0.657	0.456	0.413	0.722	0.53	0.437	0.578	0.708	0.511	0.635	0.551	0.599	0.546	0.535	0.506	0.378	0.472	0.459	0.508	0.534	0.725	0.534	0.441	0.612	0.54	0.552	0.397	0.541	0.497	0.54	0.544	0.335	0.712	1092345.0	1083533.775505
F_HCC_50	0.342	0.685	0.454	0.414	0.957	0.57	0.472	0.594	0.778	0.516	0.627	0.548	0.546	0.603	0.516	0.555	0.455	0.522	0.428	0.419	0.526	0.754	0.558	0.432	0.59	0.536	0.571	0.403	0.541	0.438	0.589	0.844	0.415	0.815	1319940.0	1755467.267071
F_HCC_51	0.293	0.727	0.434	0.455	0.63	0.528	0.411	0.652	0.688	0.532	0.624	0.509	0.523	0.551	0.602	0.602	0.386	0.523	0.45	0.424	0.565	0.719	0.508	0.444	0.593	0.517	0.512	0.416	0.556	0.466	0.395	0.857	0.384	0.769	908459.0	1208262.310678
F_HCC_52	0.379	0.621	0.445	0.535	0.69	0.514	0.42	0.543	0.689	0.466	0.584	0.587	0.528	0.518	0.565	0.471	0.37	0.404	0.349	0.442	0.503	0.578	0.499	0.453	0.687	0.496	0.501	0.371	0.506	0.446	0.395	0.656	0.346	0.659	1172264.0	1592707.841192
F_HCC_53	0.428	0.459	0.407	0.415	0.58	0.555	0.47	0.537	0.691	0.511	0.667	0.628	0.598	0.509	0.655	0.586	0.391	0.523	0.456	0.421	0.552	0.619	0.506	0.523	0.524	0.521	0.506	0.43	0.59	0.454	0.593	0.586	0.399	0.763	1151821.0	1684343.962513
F_HCC_54	0.313	0.617	0.452	0.505	0.765	0.491	0.459	0.586	0.688	0.476	0.5	0.601	0.601	0.499	0.634	0.539	0.387	0.454	0.462	0.351	0.49	0.55	0.528	0.496	0.558	0.53	0.492	0.396	0.583	0.441	0.515	0.61	0.337	0.661	916912.0	1247666.247603
F_HCC_55	0.401	0.796	0.382	0.542	0.756	0.549	0.447	0.606	0.684	0.51	0.645	0.536	0.515	0.564	0.691	0.465	0.338	0.488	0.451	0.466	0.556	0.649	0.544	0.464	0.607	0.46	0.456	0.458	0.514	0.421	0.516	0.621	0.383	0.649	1143572.0	1590326.795272
F_HCC_57	0.342	0.507	0.443	0.501	0.856	0.586	0.406	0.549	0.55	0.502	0.616	0.544	0.52	0.561	0.702	0.505	0.389	0.42	0.443	0.454	0.561	0.457	0.561	0.471	0.52	0.447	0.528	0.432	0.549	0.471	0.431	0.634	0.409	0.631	1021317.0	1229954.970846
F_HCC_60	0.347	0.765	0.38	0.415	0.759	0.525	0.379	0.55	0.714	0.498	0.626	0.52	0.566	0.505	0.833	0.526	0.415	0.576	0.419	0.467	0.508	0.671	0.497	0.431	0.542	0.457	0.448	0.383	0.528	0.399	0.457	0.708	0.395	0.803	1173249.0	1595182.598056
F_HCC_61	0.322	0.624	0.464	0.462	0.812	0.551	0.47	0.606	0.749	0.518	0.538	0.502	0.521	0.471	0.447	0.495	0.366	0.499	0.451	0.292	0.518	0.712	0.489	0.489	0.487	0.44	0.496	0.451	0.443	0.462	0.438	0.812	0.353	0.694	1209058.0	1739842.937941
F_HCC_62	0.375	0.512	0.42	0.4	0.733	0.579	0.428	0.636	0.691	0.489	0.674	0.579	0.48	0.483	0.688	0.376	0.421	0.566	0.383	0.444	0.438	0.62	0.503	0.453	0.663	0.424	0.465	0.388	0.573	0.479	0.464	0.553	0.427	0.633	1119911.0	1457772.726299
F_HCC_63	0.354	0.527	0.338	0.381	0.703	0.574	0.449	0.532	0.609	0.452	0.484	0.511	0.47	0.501	0.608	0.402	0.367	0.548	0.432	0.538	0.516	0.594	0.485	0.471	0.617	0.47	0.479	0.397	0.566	0.466	0.422	0.599	0.463	0.708	965918.0	1141246.643888
F_HCC_64	0.367	0.426	0.432	0.451	0.886	0.549	0.423	0.557	0.639	0.514	0.548	0.533	0.514	0.534	0.716	0.46	0.414	0.52	0.448	0.463	0.51	0.657	0.491	0.419	0.536	0.498	0.44	0.406	0.522	0.47	0.564	0.642	0.312	0.712	1021286.0	1320532.516555
F_HCC_65	0.377	0.626	0.379	0.395	0.695	0.54	0.395	0.601	0.741	0.55	0.59	0.512	0.513	0.523	0.619	0.388	0.449	0.522	0.366	0.394	0.519	0.589	0.461	0.439	0.505	0.425	0.452	0.366	0.536	0.377	0.404	0.486	0.462	0.739	1187988.0	1602456.315234
F_HCC_66	0.349	0.351	0.399	0.426	0.679	0.549	0.413	0.599	0.596	0.462	0.614	0.53	0.59	0.57	0.795	0.495	0.357	0.624	0.427	0.511	0.617	0.618	0.522	0.421	0.462	0.522	0.508	0.397	0.573	0.457	0.551	0.739	0.303	0.757	1048948.0	1204254.073443
F_HCC_67	0.437	0.789	0.512	0.534	0.86	0.664	0.493	0.58	0.707	0.54	0.612	0.575	0.563	0.572	0.651	0.526	0.454	0.578	0.451	0.413	0.489	0.563	0.561	0.477	0.591	0.548	0.559	0.462	0.607	0.489	0.572	0.624	0.285	0.666	1104787.0	1566716.600498
F_HCC_68	0.382	0.487	0.458	0.369	0.905	0.505	0.485	0.642	0.799	0.492	0.614	0.56	0.606	0.578	0.556	0.57	0.426	0.555	0.49	0.386	0.519	0.735	0.527	0.501	0.596	0.518	0.49	0.446	0.539	0.457	0.516	0.654	0.29	0.746	1479067.0	1882985.854063
F_HCC_69	0.37	0.501	0.359	0.369	0.649	0.663	0.446	0.629	0.764	0.556	0.615	0.565	0.662	0.541	0.757	0.419	0.452	0.508	0.415	0.425	0.56	0.661	0.475	0.478	0.516	0.477	0.448	0.404	0.513	0.462	0.508	0.72	0.383	0.826	954306.0	1298831.368432
F_HCC_70	0.385	0.546	0.39	0.387	0.837	0.595	0.444	0.672	0.764	0.554	0.714	0.519	0.675	0.62	0.679	0.507	0.388	0.526	0.408	0.428	0.606	0.688	0.486	0.452	0.452	0.517	0.555	0.432	0.64	0.543	0.544	0.742	0.366	0.749	1127086.0	1629624.527493
F_HCC_71	0.418	0.722	0.456	0.421	0.735	0.557	0.461	0.648	0.894	0.48	0.62	0.631	0.665	0.552	0.562	0.674	0.414	0.507	0.497	0.379	0.539	0.711	0.637	0.51	0.641	0.517	0.57	0.427	0.545	0.446	0.646	0.549	0.353	0.829	1036103.0	1388469.292346
F_HCC_72	0.398	0.584	0.398	0.438	0.523	0.638	0.429	0.639	0.767	0.501	0.586	0.611	0.619	0.578	0.723	0.502	0.467	0.548	0.471	0.414	0.509	0.623	0.487	0.49	0.608	0.492	0.513	0.404	0.568	0.419	0.417	0.613	0.319	0.663	1002314.0	1050427.493402
F_HCC_73	0.393	0.579	0.451	0.424	0.634	0.598	0.455	0.63	0.747	0.524	0.632	0.622	0.677	0.603	0.782	0.534	0.371	0.584	0.476	0.419	0.532	0.534	0.473	0.489	0.696	0.589	0.541	0.377	0.566	0.493	0.578	0.503	0.445	0.799	1075078.0	1331880.028369
F_HCC_74	0.354	0.416	0.384	0.426	0.724	0.573	0.432	0.574	0.69	0.453	0.608	0.526	0.494	0.499	0.607	0.449	0.424	0.417	0.423	0.467	0.52	0.58	0.481	0.447	0.486	0.418	0.433	0.381	0.479	0.449	0.352	0.524	0.336	0.765	954642.0	1249914.246752
F_HCC_75	0.287	0.744	0.395	0.417	0.723	0.608	0.398	0.525	0.658	0.47	0.555	0.529	0.535	0.489	0.589	0.557	0.3	0.421	0.326	0.435	0.518	0.596	0.515	0.438	0.508	0.405	0.502	0.377	0.543	0.426	0.475	0.872	0.277	0.638	1173202.0	1588514.563009
F_HCC_76	0.339	0.534	0.507	0.46	0.845	0.577	0.449	0.709	0.699	0.541	0.614	0.602	0.622	0.513	0.671	0.502	0.396	0.546	0.513	0.435	0.478	0.611	0.514	0.482	0.534	0.47	0.483	0.404	0.585	0.435	0.585	0.702	0.318	0.757	1154882.0	1508939.481512
F_HCC_77	0.328	0.517	0.438	0.436	1.03	0.507	0.427	0.594	0.72	0.47	0.601	0.52	0.513	0.527	0.604	0.487	0.347	0.495	0.43	0.379	0.508	0.683	0.466	0.459	0.433	0.458	0.445	0.405	0.512	0.505	0.434	0.532	0.344	0.65	1185461.0	1623903.950025
F_HCC_80	0.442	0.609	0.489	0.46	0.551	0.565	0.47	0.641	0.754	0.469	0.715	0.6	0.629	0.59	0.768	0.536	0.521	0.587	0.497	0.443	0.583	0.499	0.563	0.476	0.507	0.524	0.587	0.437	0.627	0.482	0.462	0.693	0.392	0.831	974179.0	1294781.241167
F_HCC_81	0.405	0.607	0.464	0.416	0.713	0.582	0.407	0.629	0.746	0.461	0.612	0.503	0.599	0.563	0.783	0.595	0.476	0.442	0.415	0.387	0.545	0.601	0.519	0.469	0.373	0.504	0.513	0.413	0.543	0.471	0.489	0.553	0.323	0.723	1089096.0	1618998.37212
F_HCC_82	0.359	0.588	0.439	0.433	0.818	0.628	0.493	0.728	0.775	0.565	0.709	0.544	0.644	0.591	0.549	0.563	0.436	0.54	0.471	0.447	0.668	0.573	0.52	0.489	0.666	0.542	0.578	0.517	0.569	0.511	0.626	0.76	0.302	0.637	1018796.0	1204284.690532
F_HCC_83	0.421	0.721	0.433	0.384	0.901	0.578	0.438	0.653	0.811	0.511	0.687	0.562	0.613	0.647	0.636	0.462	0.428	0.646	0.508	0.492	0.529	0.836	0.464	0.512	0.537	0.538	0.505	0.412	0.529	0.466	0.58	0.809	0.372	0.784	1201558.0	1659716.866945
F_HCC_84	0.38	0.511	0.436	0.403	0.665	0.51	0.434	0.604	0.679	0.543	0.648	0.585	0.581	0.542	0.61	0.572	0.346	0.457	0.435	0.352	0.525	0.629	0.548	0.516	0.557	0.459	0.46	0.472	0.523	0.461	0.324	0.592	0.356	0.621	1203203.0	1697692.982262
F_HCC_85	0.413	0.431	0.416	0.438	0.578	0.604	0.478	0.584	0.663	0.517	0.567	0.523	0.551	0.543	0.714	0.442	0.381	0.49	0.418	0.336	0.533	0.573	0.528	0.483	0.569	0.502	0.475	0.424	0.515	0.446	0.538	0.595	0.362	0.67	1007536.0	1336373.782086
F_HCC_87	0.44	0.642	0.411	0.458	0.777	0.516	0.484	0.623	0.751	0.44	0.576	0.51	0.522	0.536	0.602	0.57	0.432	0.474	0.41	0.501	0.559	0.637	0.516	0.474	0.567	0.487	0.526	0.388	0.597	0.523	0.598	0.622	0.376	0.705	1098535.0	1325788.001945
F_HCC_88	0.379	0.685	0.449	0.451	0.508	0.537	0.457	0.581	0.717	0.55	0.657	0.569	0.683	0.59	0.585	0.555	0.366	0.481	0.558	0.504	0.602	0.529	0.497	0.503	0.541	0.528	0.522	0.456	0.574	0.482	0.415	0.538	0.308	0.709	995541.0	1397567.828171
F_HCC_89	0.393	0.695	0.423	0.522	0.689	0.701	0.501	0.656	0.861	0.518	0.595	0.582	0.573	0.633	0.854	0.553	0.453	0.617	0.46	0.372	0.612	0.712	0.524	0.591	0.523	0.533	0.535	0.47	0.637	0.487	0.493	0.541	0.335	0.739	1099341.0	1597628.039951
F_HCC_90	0.33	0.669	0.379	0.411	0.623	0.617	0.432	0.624	0.633	0.423	0.631	0.545	0.609	0.503	0.644	0.437	0.334	0.498	0.498	0.413	0.595	0.58	0.537	0.41	0.6	0.452	0.478	0.385	0.522	0.454	0.451	0.672	0.332	0.669	1150877.0	1431125.875977
F_HCC_91	0.347	0.614	0.388	0.463	0.684	0.605	0.459	0.634	0.782	0.593	0.681	0.642	0.643	0.583	0.617	0.518	0.323	0.571	0.469	0.392	0.613	0.787	0.518	0.509	0.574	0.469	0.529	0.43	0.533	0.428	0.551	0.723	0.31	0.705	1101261.0	1420047.577058
F_HCC_92	0.373	0.619	0.446	0.335	0.627	0.593	0.453	0.6	0.697	0.533	0.536	0.552	0.472	0.497	0.806	0.53	0.395	0.428	0.451	0.372	0.551	0.699	0.51	0.441	0.423	0.425	0.493	0.367	0.559	0.429	0.532	0.755	0.43	0.84	1061978.0	1530096.23941
F_HCC_93	0.385	0.694	0.43	0.443	0.579	0.521	0.446	0.59	0.779	0.511	0.557	0.533	0.64	0.566	0.553	0.529	0.346	0.491	0.407	0.387	0.458	0.645	0.506	0.487	0.683	0.486	0.513	0.367	0.521	0.453	0.593	0.668	0.344	0.64	1029125.0	1232175.404642
F_HCC_94	0.336	0.536	0.48	0.404	0.598	0.495	0.429	0.569	0.618	0.501	0.664	0.498	0.519	0.481	0.702	0.432	0.326	0.431	0.373	0.451	0.532	0.424	0.537	0.473	0.479	0.463	0.459	0.416	0.474	0.435	0.438	0.584	0.324	0.587	956310.0	1163270.764353
F_HCC_95	0.369	0.437	0.351	0.371	0.847	0.521	0.406	0.595	0.723	0.438	0.607	0.518	0.598	0.499	0.582	0.509	0.36	0.517	0.513	0.4	0.556	0.498	0.52	0.517	0.629	0.506	0.467	0.403	0.559	0.476	0.585	0.644	0.312	0.729	991837.0	1054121.674247
F_HCC_96	0.407	0.786	0.389	0.435	0.731	0.562	0.457	0.56	0.726	0.49	0.603	0.486	0.594	0.567	0.797	0.496	0.442	0.468	0.485	0.481	0.592	0.783	0.536	0.459	0.72	0.544	0.487	0.461	0.504	0.439	0.557	0.639	0.38	0.749	935888.0	1190421.900669
F_HCC_97	0.339	0.439	0.392	0.368	0.567	0.553	0.472	0.642	0.716	0.423	0.633	0.555	0.619	0.549	0.728	0.403	0.403	0.572	0.434	0.445	0.58	0.578	0.567	0.399	0.558	0.525	0.497	0.412	0.478	0.423	0.479	0.5	0.271	0.678	1106891.0	1389880.225326
F_HCC_98	0.356	0.488	0.472	0.377	0.831	0.58	0.419	0.611	0.727	0.491	0.584	0.509	0.593	0.511	0.658	0.526	0.485	0.567	0.468	0.371	0.546	0.588	0.498	0.461	0.532	0.494	0.514	0.441	0.575	0.479	0.707	0.772	0.378	0.735	910201.0	924217.929061
F_HCC_99	0.362	0.686	0.477	0.412	0.769	0.533	0.508	0.577	0.725	0.529	0.618	0.549	0.579	0.542	0.682	0.51	0.444	0.507	0.401	0.476	0.476	0.75	0.589	0.522	0.54	0.456	0.498	0.417	0.579	0.457	0.322	0.657	0.398	0.689	1084405.0	1338856.820847
F_HCC_100	0.343	0.716	0.429	0.382	0.782	0.529	0.476	0.565	0.633	0.477	0.567	0.509	0.553	0.521	0.74	0.573	0.468	0.551	0.396	0.473	0.662	0.678	0.523	0.487	0.638	0.537	0.533	0.47	0.622	0.483	0.566	0.739	0.309	0.723	1025443.0	1114639.773849
F_HCC_101	0.366	0.64	0.704	0.405	0.878	0.508	0.428	0.538	0.521	0.489	0.692	0.48	0.481	0.544	0.679	0.496	0.467	0.466	0.395	0.354	0.434	0.602	0.561	0.412	0.568	0.432	0.53	0.388	0.522	0.445	0.379	0.406	0.39	0.612	1014529.0	1198426.531083
