rh.aparc.thicknessstd	rh_bankssts_thicknessstd	rh_caudalanteriorcingulate_thicknessstd	rh_caudalmiddlefrontal_thicknessstd	rh_cuneus_thicknessstd	rh_entorhinal_thicknessstd	rh_fusiform_thicknessstd	rh_inferiorparietal_thicknessstd	rh_inferiortemporal_thicknessstd	rh_isthmuscingulate_thicknessstd	rh_lateraloccipital_thicknessstd	rh_lateralorbitofrontal_thicknessstd	rh_lingual_thicknessstd	rh_medialorbitofrontal_thicknessstd	rh_middletemporal_thicknessstd	rh_parahippocampal_thicknessstd	rh_paracentral_thicknessstd	rh_parsopercularis_thicknessstd	rh_parsorbitalis_thicknessstd	rh_parstriangularis_thicknessstd	rh_pericalcarine_thicknessstd	rh_postcentral_thicknessstd	rh_posteriorcingulate_thicknessstd	rh_precentral_thicknessstd	rh_precuneus_thicknessstd	rh_rostralanteriorcingulate_thicknessstd	rh_rostralmiddlefrontal_thicknessstd	rh_superiorfrontal_thicknessstd	rh_superiorparietal_thicknessstd	rh_superiortemporal_thicknessstd	rh_supramarginal_thicknessstd	rh_frontalpole_thicknessstd	rh_temporalpole_thicknessstd	rh_transversetemporal_thicknessstd	rh_insula_thicknessstd	BrainSegVolNotVent	eTIV
F_BPS_92	0.37	0.407	0.479	0.374	0.736	0.582	0.489	0.636	0.791	0.577	0.698	0.602	0.585	0.556	0.559	0.524	0.431	0.638	0.441	0.397	0.577	0.724	0.484	0.518	0.61	0.506	0.539	0.439	0.621	0.45	0.506	1.046	0.436	0.716	1284292.0	1679251.635662
F_BPS_93	0.408	0.721	0.574	0.461	0.744	0.691	0.487	0.667	0.816	0.583	0.645	0.558	0.702	0.634	0.7	0.561	0.465	0.595	0.44	0.482	0.599	0.732	0.599	0.54	0.706	0.546	0.625	0.546	0.641	0.564	0.642	0.803	0.311	0.814	1105037.0	1186276.187795
F_BPS_94	0.309	0.531	0.402	0.373	0.725	0.517	0.429	0.577	0.649	0.421	0.579	0.517	0.546	0.56	0.693	0.498	0.361	0.505	0.405	0.388	0.573	0.64	0.537	0.492	0.49	0.474	0.49	0.481	0.51	0.424	0.482	0.614	0.307	0.77	1008303.0	1384097.932653
F_BPS_96	0.413	0.551	0.507	0.545	0.811	0.578	0.42	0.62	0.761	0.492	0.648	0.582	0.631	0.585	0.848	0.551	0.433	0.565	0.44	0.431	0.526	0.605	0.507	0.511	0.619	0.553	0.58	0.521	0.583	0.507	0.629	0.54	0.44	0.685	1163156.0	1496188.648071
F_BPS_97	0.306	0.61	0.497	0.477	0.664	0.558	0.392	0.653	0.768	0.469	0.566	0.503	0.582	0.553	0.651	0.581	0.46	0.597	0.446	0.364	0.563	0.576	0.512	0.496	0.649	0.481	0.535	0.398	0.556	0.461	0.629	0.469	0.455	0.666	1042548.0	1343548.286768
F_BPS_98	0.429	0.559	0.382	0.401	1.0	0.539	0.502	0.66	0.645	0.517	0.621	0.563	0.669	0.55	0.831	0.522	0.38	0.572	0.487	0.442	0.551	0.601	0.459	0.518	0.624	0.486	0.491	0.448	0.583	0.48	0.495	0.638	0.424	0.789	944574.0	1269548.017754
F_BPS_99	0.305	0.352	0.409	0.386	0.649	0.605	0.457	0.591	0.712	0.466	0.55	0.528	0.584	0.536	0.65	0.502	0.4	0.659	0.457	0.429	0.49	0.545	0.472	0.45	0.49	0.46	0.473	0.415	0.485	0.43	0.451	0.521	0.298	0.759	938790.0	1332058.6162
F_BPS_101	0.386	0.346	0.369	0.483	0.587	0.634	0.425	0.599	0.804	0.51	0.623	0.522	0.57	0.559	0.619	0.507	0.41	0.503	0.452	0.449	0.5	0.658	0.449	0.505	0.761	0.496	0.444	0.385	0.525	0.472	0.589	0.561	0.349	0.7	960370.0	1088308.480611
F_BPS_102	0.401	0.653	0.434	0.442	0.788	0.591	0.455	0.588	0.646	0.498	0.618	0.518	0.639	0.561	0.686	0.541	0.5	0.461	0.424	0.354	0.5	0.641	0.506	0.513	0.584	0.477	0.466	0.427	0.496	0.476	0.521	0.756	0.363	0.812	1020370.0	1565212.261952
F_BPS_103	0.409	0.727	0.482	0.527	0.823	0.543	0.448	0.592	0.65	0.462	0.502	0.56	0.509	0.48	0.74	0.453	0.456	0.465	0.455	0.416	0.393	0.655	0.494	0.456	0.528	0.443	0.499	0.389	0.523	0.438	0.411	0.502	0.259	0.688	903506.0	1257476.273197
F_BPS_104	0.316	0.54	0.476	0.419	0.741	0.584	0.488	0.666	0.702	0.567	0.619	0.52	0.626	0.602	0.706	0.438	0.376	0.475	0.443	0.391	0.518	0.506	0.51	0.469	0.516	0.498	0.507	0.427	0.615	0.524	0.669	0.498	0.284	0.733	1067397.0	1508487.773201
F_BPS_105	0.373	0.688	0.381	0.421	0.671	0.51	0.451	0.664	0.714	0.505	0.565	0.54	0.738	0.487	0.625	0.531	0.416	0.618	0.419	0.423	0.53	0.485	0.503	0.51	0.813	0.49	0.502	0.436	0.521	0.465	0.533	0.843	0.325	0.652	909253.0	1249690.678317
F_BPS_107	0.348	0.724	0.392	0.524	0.744	0.613	0.396	0.642	0.76	0.482	0.636	0.609	0.575	0.505	0.746	0.503	0.372	0.467	0.394	0.432	0.605	0.668	0.561	0.455	0.497	0.432	0.478	0.449	0.463	0.419	0.567	0.622	0.464	0.597	1099152.0	1400440.42563
F_CD_01	0.413	0.698	0.52	0.528	0.681	0.544	0.425	0.56	0.734	0.517	0.666	0.555	0.538	0.537	0.407	0.424	0.448	0.588	0.506	0.44	0.451	0.701	0.544	0.497	0.537	0.496	0.515	0.396	0.505	0.432	0.533	0.627	0.386	0.652	1056569.0	1484053.955212
F_CD_02	0.416	0.717	0.49	0.508	0.628	0.583	0.468	0.549	0.612	0.5	0.601	0.515	0.54	0.492	0.488	0.5	0.49	0.493	0.512	0.337	0.552	0.64	0.548	0.462	0.745	0.469	0.559	0.439	0.483	0.487	0.541	0.899	0.388	0.651	974403.0	1413522.009671
F_CD_04	0.396	0.664	0.416	0.487	0.919	0.504	0.394	0.616	0.653	0.502	0.605	0.493	0.534	0.501	0.541	0.473	0.348	0.531	0.436	0.363	0.614	0.571	0.569	0.474	0.609	0.492	0.516	0.424	0.544	0.466	0.55	0.704	0.397	0.655	1038134.0	1003789.792523
F_CD_05	0.39	0.615	0.46	0.377	0.884	0.628	0.444	0.663	0.715	0.439	0.692	0.54	0.563	0.621	0.635	0.614	0.417	0.646	0.485	0.463	0.552	0.68	0.568	0.526	0.444	0.511	0.578	0.456	0.601	0.492	0.495	0.766	0.363	0.817	1062997.0	1365862.857754
F_CD_06	0.408	0.726	0.447	0.515	0.656	0.586	0.523	0.682	0.689	0.599	0.63	0.568	0.662	0.577	0.641	0.438	0.46	0.633	0.467	0.48	0.585	0.707	0.5	0.444	0.767	0.522	0.517	0.406	0.637	0.536	0.511	0.864	0.437	0.782	1210044.0	1562815.654156
F_CD_08	0.367	0.539	0.475	0.438	0.6	0.605	0.495	0.529	0.704	0.502	0.592	0.551	0.548	0.507	0.629	0.574	0.391	0.554	0.429	0.384	0.552	0.718	0.594	0.558	0.6	0.499	0.572	0.494	0.554	0.474	0.661	0.596	0.341	0.658	973421.0	1299315.384545
F_CD_09	0.381	0.657	0.471	0.52	0.936	0.569	0.427	0.699	0.717	0.56	0.676	0.569	0.546	0.575	0.597	0.516	0.453	0.57	0.479	0.357	0.676	0.702	0.728	0.467	0.596	0.539	0.57	0.529	0.556	0.521	0.535	0.742	0.457	0.747	1274725.0	1465327.339918
F_CD_10	0.344	0.725	0.365	0.427	0.727	0.549	0.495	0.65	0.739	0.521	0.641	0.602	0.615	0.529	0.633	0.534	0.396	0.437	0.484	0.455	0.53	0.653	0.492	0.444	0.55	0.487	0.49	0.413	0.546	0.451	0.493	0.545	0.455	0.791	1077202.0	1389126.930246
F_CD_11	0.48	0.731	0.433	0.421	0.827	0.588	0.44	0.655	0.71	0.497	0.679	0.552	0.656	0.608	0.576	0.501	0.447	0.616	0.473	0.51	0.533	0.704	0.54	0.521	0.721	0.508	0.513	0.487	0.515	0.493	0.619	0.749	0.362	0.728	1147015.0	1787065.529294
F_CD_12	0.332	0.661	0.467	0.439	0.623	0.635	0.415	0.6	0.745	0.489	0.594	0.523	0.547	0.53	0.745	0.495	0.382	0.495	0.438	0.439	0.481	0.735	0.512	0.459	0.552	0.452	0.493	0.416	0.579	0.431	0.356	0.549	0.349	0.725	1179341.0	1690073.735793
F_CD_13	0.344	0.531	0.426	0.385	0.742	0.654	0.413	0.581	0.729	0.461	0.593	0.56	0.664	0.561	0.885	0.548	0.43	0.581	0.501	0.391	0.465	0.621	0.46	0.524	0.53	0.541	0.521	0.39	0.51	0.484	0.644	0.61	0.286	0.632	862632.0	934949.894247
F_CD_14	0.461	0.793	0.463	0.417	0.689	0.682	0.444	0.599	0.707	0.605	0.663	0.522	0.536	0.605	0.688	0.535	0.439	0.564	0.44	0.481	0.558	0.737	0.484	0.479	0.881	0.482	0.562	0.441	0.586	0.43	0.561	0.706	0.339	0.629	1062299.0	1407841.62677
F_CD_16	0.364	0.629	0.438	0.44	0.744	0.6	0.456	0.571	0.729	0.513	0.608	0.5	0.667	0.592	0.577	0.578	0.455	0.598	0.493	0.502	0.556	0.655	0.62	0.506	0.578	0.587	0.574	0.41	0.591	0.479	0.452	0.499	0.398	0.76	991376.0	1069596.294341
F_CD_17	0.376	0.651	0.417	0.444	0.652	0.636	0.439	0.63	0.737	0.503	0.625	0.513	0.704	0.626	0.634	0.525	0.432	0.546	0.438	0.438	0.573	0.654	0.522	0.454	0.627	0.554	0.533	0.418	0.615	0.468	0.534	0.722	0.403	0.703	894172.0	1133124.331286
F_CD_19	0.339	0.884	0.488	0.499	0.828	0.571	0.485	0.695	0.792	0.526	0.573	0.559	0.63	0.553	0.727	0.619	0.495	0.522	0.439	0.424	0.581	0.8	0.506	0.499	0.748	0.513	0.665	0.473	0.622	0.476	0.595	0.649	0.423	0.831	1069423.0	1658861.002011
F_CD_20	0.447	0.793	0.507	0.392	0.7	0.585	0.52	0.729	0.691	0.582	0.646	0.501	0.653	0.619	0.538	0.531	0.534	0.627	0.452	0.387	0.595	0.549	0.559	0.585	0.669	0.589	0.597	0.499	0.616	0.538	0.574	0.664	0.407	0.65	1156515.0	1616164.83288
F_CD_21	0.352	0.788	0.4	0.395	0.8	0.549	0.405	0.551	0.755	0.426	0.559	0.528	0.474	0.524	0.71	0.543	0.384	0.493	0.387	0.417	0.506	0.754	0.489	0.45	0.744	0.472	0.512	0.375	0.533	0.432	0.505	0.518	0.318	0.596	1124703.0	1536564.154113
F_CD_22	0.344	0.76	0.394	0.476	0.703	0.533	0.422	0.639	0.731	0.466	0.671	0.492	0.623	0.524	0.657	0.554	0.356	0.606	0.432	0.391	0.507	0.659	0.51	0.458	0.719	0.454	0.539	0.43	0.52	0.387	0.545	0.6	0.356	0.566	1166435.0	1459290.963068
F_CD_25	0.327	0.536	0.425	0.435	0.74	0.497	0.427	0.576	0.646	0.511	0.63	0.572	0.529	0.528	0.608	0.509	0.376	0.447	0.385	0.404	0.537	0.628	0.494	0.463	0.564	0.486	0.47	0.414	0.509	0.44	0.449	0.833	0.342	0.626	1191913.0	1504121.456355
F_CD_26	0.375	0.466	0.401	0.467	0.709	0.517	0.438	0.523	0.688	0.504	0.61	0.522	0.512	0.503	0.571	0.579	0.391	0.514	0.415	0.377	0.521	0.622	0.543	0.462	0.413	0.464	0.521	0.399	0.524	0.42	0.46	0.71	0.336	0.782	1236962.0	1659392.107151
F_CD_27	0.397	0.679	0.418	0.521	0.721	0.552	0.406	0.57	0.719	0.554	0.565	0.503	0.617	0.5	0.633	0.462	0.465	0.476	0.396	0.355	0.521	0.628	0.526	0.467	0.545	0.448	0.462	0.435	0.606	0.534	0.414	0.396	0.38	0.741	1114790.0	1653785.628941
F_CD_28	0.396	0.697	0.475	0.352	0.734	0.576	0.425	0.526	0.747	0.609	0.572	0.586	0.507	0.541	0.422	0.573	0.354	0.442	0.414	0.477	0.558	0.696	0.59	0.454	0.555	0.472	0.507	0.404	0.539	0.439	0.523	0.746	0.341	0.74	1069490.0	1612878.949375
F_CD_29	0.356	0.722	0.424	0.52	0.976	0.519	0.403	0.607	0.769	0.455	0.635	0.562	0.623	0.576	0.705	0.458	0.387	0.512	0.398	0.484	0.497	0.622	0.496	0.43	0.629	0.475	0.501	0.419	0.487	0.404	0.503	0.577	0.318	0.672	1257036.0	1633498.134535
F_CD_30	0.42	0.712	0.388	0.466	0.692	0.614	0.48	0.629	0.76	0.499	0.732	0.503	0.55	0.525	0.53	0.506	0.394	0.575	0.51	0.386	0.542	0.73	0.514	0.492	0.662	0.472	0.513	0.438	0.544	0.495	0.646	0.568	0.32	0.744	1058567.0	1291709.820214
F_CD_31	0.43	0.587	0.448	0.437	0.764	0.618	0.471	0.68	0.617	0.488	0.561	0.493	0.614	0.668	0.695	0.483	0.399	0.523	0.424	0.331	0.504	0.671	0.527	0.528	0.704	0.499	0.499	0.479	0.568	0.464	0.576	1.081	0.364	0.686	1101620.0	1521567.302024
